Baseline_norepair_,0.722816,1627181,1627181 500/5G
R2_,0.517429,2832880,2832880
R4_,0.360266,3755491,3755491
R8_,0.354234,3790904,3790904
R16_,0.487318,3009649,3009649
R32_,0.601380,2340057,2340057
Baseline_norepair_,0.708997,1708303,4162093 500/10G
R2_,0.596748,2367248,3503148
R4_,0.391621,3571428,2298968
R8_,0.217924,4591098,1279298
R16_,0.289111,4173201,1697195
R32_,0.446415,3249762,2620634
Baseline_norepair_,0.704043,1737382,4133014 500/20G
R2_,0.545533,2667904,3202492
R4_,0.375268,3667425,2202971
R8_,0.187843,4767681,1102715
R16_,0.168166,4883194,987202
R32_,0.208684,4645338,1225058
Baseline_norepair_,0.701895,1749995,4120401 500/40G
R2_,0.500236,2933813,2936583
R4_,0.340888,3869246,2001150
R8_,0.215802,4603554,1266842
R16_,0.167899,4884761,985635
R32_,0.167131,4889268,981128
Baseline_norepair_,0.667585,1951410,3918986 1000/5G
R2_,0.491353,2985957,2884439
R4_,0.323616,3970641,1899755
R8_,0.216680,4598396,1272000
R16_,0.314583,4023671,1846725
R32_,0.466392,3132493,2737903
Baseline_norepair_,0.666668,1956793,3913603 1000/10G
R2_,0.523529,2797071,3073325
R4_,0.354690,3788227,2082169
R8_,0.230167,4519224,1351172
R16_,0.172457,4858004,1012392
R32_,0.297773,4122349,1748047
Baseline_norepair_,0.710880,1697248,4173148 1000/20G
R2_,0.545756,2666595,3203801
R4_,0.343212,3855604,2014792
R8_,0.206621,4657449,1212947
R16_,0.169706,4874157,996239
R32_,0.167165,4889069,981327
Baseline_norepair_,0.689421,1823220,4047176 1000/40G
R2_,0.527756,2772261,3098135
R4_,0.312742,4034477,1835919
R8_,0.215967,4602585,1267811
R16_,0.170851,4867431,1002965
R32_,0.167202,4888854,981542
Baseline_norepair_,0.730187,1583907,4286489 2000/5G
R2_,0.526686,2778541,3091855
R4_,0.343341,3854850,2015546
R8_,0.205649,4663156,1207240
R16_,0.168543,4880982,989414
R32_,0.335897,3898550,1971846
Baseline_norepair_,0.648433,2063835,3806561 2000/10G
R2_,0.527946,2771143,3099253
R4_,0.325049,3962227,1908169
R8_,0.210848,4632635,1237761
R16_,0.168093,4883622,986774
R32_,0.167131,4889268,981128
Baseline_norepair_,0.705003,1731752,4138644 2000/20G
R2_,0.532914,2741980,3128416
R4_,0.369502,3701273,2169123
R8_,0.206405,4658719,1211677
R16_,0.170628,4868742,1001654
R32_,0.167172,4889032,981364
Baseline_norepair_,0.692912,1802726,4067670 2000/40G
R2_,0.524065,2793926,3076470
R4_,0.337790,3887432,1982964
R8_,0.211818,4626939,1243457
R16_,0.168117,4883484,986912
R32_,0.167721,4885810,984586
